setNum;name_en;name_de;year;recommendedRetailPrice €
7188;King's Carriage Ambush;LEGO® Castle 7188 Angriff auf die Königskutsche;2011;39.99
7189;Mill Village Raid;LEGO® Castle 7189 Überfall auf das Mühlen- Dorf;2011;69.99
7207;Fire Boat;LEGO® City 7207 Feuerwehrschiff;2010;49.99
7208;Fire Station;LEGO® City 7208 Fire Station;2010;69.99
7213;Off-Road Fire Truck & Fireboat;LEGO® City 7213 Feuerwehr-Truck mit Löschboot;2010;39.99
7279;Police Minifigure Collection;LEGO® City 7279 Polizei Minifigurensammlung;2011;7.99
7285;Police Dog Unit;LEGO® City 7285 Polizeihundeinsatz;2011;9.99
7286;Prisoner Transport;LEGO® City 7286 Gefangenentransporter;2011;16.99
7287;Police Boat;LEGO® City 7287 Police Boat;2011;19.99
7288;Mobile Police Unit;LEGO® City 7288 Mobile Police Unit;2011;39.99
7291;Street Rebel;LEGO® Creator 7291 Straßenrennmaschine;2012;19.99
7292;Propeller Adventures;LEGO® Creator 7292 Propeller Adventures;2012;19.99
7305;Scarab Attack;LEGO® Pharaoh's Quest 7305 Angriff des Skarabäus;2011;4.99
7306;Golden Staff Guardians;LEGO® Pharaoh's Quest 7306 Jagd nach dem Goldstab;2011;9.99
7307;Flying Mummy Attack;LEGO® Pharaoh's Quest 7307 Flying Mummy Attack;2011;19.99
7325;Cursed Cobra Statue;LEGO® Pharaoh's Quest 7325 Verwunschene Kobra;2011;29.99
7326;Rise of the Sphinx;LEGO® Pharaoh's Quest 7326 Geheimnisvolle Sphinx, 527 Teile;2011;49.99
7327;Scorpion Pyramid;LEGO® Pharaoh's Quest 7327 Scorpion Pyramid;2011;99.99
7345;Transport Chopper;LEGO® Creator 7345 Transport Chopper;2012;29.99
7346;Seaside House;LEGO® Creator 7346 Strandhaus;2012;39.99
7347;Highway Pickup;LEGO® Creator 7347 Abschlepptruck;2012;59.99
7498;Police Station;LEGO® City 7498 Police Station;2011;99.99
7789;Lotso's Dump Truck;LEGO® Toy Story 7789 Lotso's Dump Truck;2010;19.99
7868;Mace Windu's Jedi Starfighter;LEGO® Star Wars 7868 Mace Windu's Jedi Starfighter;2011;39.99
7869;Battle for Geonosis;LEGO® Star Wars 7869 Battle for Geonosis;2011;39.99
7877;Naboo Starfighter;LEGO® Star Wars 7877 Naboo Starfighter;2011;49.99
7879;Hoth Echo Base;LEGO® Star Wars 7879 Hoth Echo Base;2011;99.99
7913;Clone Trooper Battle Pack;LEGO® Star Wars 7913 Clone Trooper Battle Pack;2011;14.99
7914;Mandalorian Battle Pack;LEGO® Star Wars 7914 Mandalorian Battle Pack;2011;14.99
7915;Imperial V-wing Starfighter;LEGO® Star Wars 7915 Imperial V-wing Starfighter;2011;26.99
7929;The Battle of Naboo;LEGO® Star Wars 7929 The Battle of Naboo;2011;29.99
7930;Bounty Hunter Gunship;LEGO® Star Wars 7930 Bounty Hunter Assault Gunship;2011;49.99
7931;T6 Jedi Shuttle;LEGO® Star Wars 7931 T-6 Jedi Shuttle;2011;69.99
7936;Level Crossing;LEGO® City 7936 Bahnübergang;2010;16.99
7937;Train Station;LEGO® City 7937 Bahnhof;2010;39.99
7938;Passenger Train;LEGO® City 7938 Passagierzug;2010;119.99
7939;Cargo Train;LEGO® City 7939 Güterzug;2010;169.99
7946;King's Castle;LEGO® Castle 7946 Große Königsburg;2010;99.99
7947;Prison Tower Rescue;LEGO® Castle 7947 Drachenfestung;2010;49.99
7948;Outpost Attack;LEGO® Castle 7948 Angriff auf den Außenposten;2010;19.99
7949;Prison Carriage Rescue;LEGO® Castle 7949 Befreiung aus der Gefängniskutsche;2010;9.99
7950;Knight's Showdown;LEGO® Castle 7950 Knight's Showdown;2010;6.99
7956;Ewok Attack;LEGO® Star Wars 7956 Ewok Attack;2011;29.99
7957;Sith Nightspeeder;LEGO® Star Wars 7957 Sith Nightspeeder;2011;29.99
7958;Advent Calendar 2011 Star Wars;LEGO® 7958 LEGO® Star Wars™ Adventskalender;2011;29.99
7961;Darth Maul's Sith Infiltrator;LEGO® Star Wars 7961 Darth Maul's Sith Infiltrator;2011;69.99
